INSERT INTO SHIPMENTS (shipmentId, shipmentStatus, shipmentDate, shipmentMethod, shipmentCost, customerId, trackingNumber) VALUES
(770243, 'Delivered', '2024-05-17 16:09:56', 'Same-Day Delivery', 50, 100000243, 'GIEYD7062656896'),
(770244, 'Delivered', '2024-05-18 05:46:37', 'Same-Day Delivery', 250, 100000244, 'PJZOA5150482295'),
(770245, 'Delivered', '2024-05-18 19:23:17', 'Same-Day Delivery', 100, 100000245, 'XQXUS8656437002'),
(770246, 'Delivered', '2024-05-19 08:59:58', 'Freight Shipping', 150, 100000246, 'YVGSG8462404204'),
(770247, 'Delivered', '2024-05-19 22:36:38', 'Same-Day Delivery', 150, 100000247, 'JPIBM9666336449'),
(770248, 'Delivered', '2024-05-20 12:13:18', 'Same-Day Delivery', 100, 100000248, 'AVTHI6455509731'),
(770249, 'Delivered', '2024-05-21 01:49:59', 'Same-Day Delivery', 200, 100000249, 'INYXT0862516351'),
(770250, 'Delivered', '2024-05-21 15:26:39', 'Freight Shipping', 300, 100000250, 'TLYVR7279296011'),
(770251, 'Delivered', '2024-05-22 05:03:20', 'Same-Day Delivery', 250, 100000251, 'ZBODO4675744272'),
(770252, 'Delivered', '2024-05-22 18:40:00', 'Standard Shipping', 300, 100000252, 'DRVTP1240144516'),
(770253, 'Delivered', '2024-05-23 08:16:41', 'Express Shipping', 100, 100000253, 'OVQEL0540172187'),
(770254, 'Delivered', '2024-05-23 21:53:21', 'Freight Shipping', 100, 100000254, 'QEWZG0306776809'),
(770255, 'Delivered', '2024-05-24 11:30:01', 'Freight Shipping', 300, 100000255, 'BCJRG9657795320'),
(770256, 'Delivered', '2024-05-25 01:06:42', 'Freight Shipping', 250, 100000256, 'EIFOO7335166771'),
(770257, 'Delivered', '2024-05-25 14:43:22', 'Express Shipping', 50, 100000257, 'CBBQT1726574228'),
(770258, 'Delivered', '2024-05-26 04:20:03', 'Standard Shipping', 200, 100000258, 'HNQXQ0548622210'),
(770259, 'Delivered', '2024-05-26 17:56:43', 'Standard Shipping', 100, 100000259, 'YPUHR1951509642'),
(770260, 'Delivered', '2024-05-27 07:33:23', 'Standard Shipping', 200, 100000260, 'GBWRI6790214040'),
(770261, 'Delivered', '2024-05-27 21:10:04', 'Standard Shipping', 200, 100000261, 'BWBXE4253713488'),
(770262, 'Delivered', '2024-05-28 10:46:44', 'Same-Day Delivery', 250, 100000262, 'TKTIO6356763250'),
(770263, 'Delivered', '2024-05-29 00:23:25', 'Standard Shipping', 100, 100000263, 'LFPZD0556239513'),
(770264, 'Delivered', '2024-05-29 14:00:05', 'Express Shipping', 200, 100000264, 'BUUQO3894739735'),
(770265, 'Delivered', '2024-05-30 03:36:45', 'Freight Shipping', 250, 100000265, 'STGUH4568898565'),
(770266, 'Delivered', '2024-05-30 17:13:26', 'Same-Day Delivery', 50, 100000266, 'VMSPD3636824915'),
(770267, 'Delivered', '2024-05-31 06:50:06', 'Same-Day Delivery', 100, 100000267, 'CJHPC2553236869'),
(770268, 'Delivered', '2024-05-31 20:26:47', 'Standard Shipping', 100, 100000268, 'PNUKU3394698053'),
(770269, 'Delivered', '2024-06-01 10:03:27', 'Freight Shipping', 150, 100000269, 'APJGT1868882600'),
(770270, 'Delivered', '2024-06-01 23:40:07', 'Express Shipping', 50, 100000270, 'HYBSE4679779082'),
(770271, 'Delivered', '2024-06-02 13:16:48', 'Same-Day Delivery', 200, 100000271, 'TALHZ6231532011'),
(770272, 'Delivered', '2024-06-03 02:53:28', 'Freight Shipping', 300, 100000272, 'YJMZD7699633336'),
(770273, 'Delivered', '2024-06-03 16:30:09', 'Freight Shipping', 50, 100000273, 'VXFRR9617549842'),
(770274, 'Delivered', '2024-06-04 06:06:49', 'Freight Shipping', 200, 100000274, 'HYYGJ4821304646'),
(770275, 'Delivered', '2024-06-04 19:43:29', 'Express Shipping', 250, 100000275, 'FGMAX0652684633'),
(770276, 'Delivered', '2024-06-05 09:20:10', 'Express Shipping', 100, 100000276, 'RWEAG6207612940'),
(770277, 'Delivered', '2024-06-05 22:56:50', 'Standard Shipping', 200, 100000277, 'BJJED6323603888'),
(770278, 'Delivered', '2024-06-06 12:33:31', 'Same-Day Delivery', 250, 100000278, 'KOYCM4237491401'),
(770279, 'Delivered', '2024-06-07 02:10:11', 'Standard Shipping', 50, 100000279, 'NKJLY6653251248'),
(770280, 'Delivered', '2024-06-07 15:46:51', 'Freight Shipping', 300, 100000280, 'AKLJO6081840954'),
(770281, 'Delivered', '2024-06-08 05:23:32', 'Freight Shipping', 100, 100000281, 'BAEUP2522315912'),
(770282, 'Delivered', '2024-06-08 19:00:12', 'Express Shipping', 50, 100000282, 'BETVE4539598588'),
(770283, 'Delivered', '2024-06-09 08:36:53', 'Standard Shipping', 200, 100000283, 'BLMTG2942823484'),
(770284, 'Delivered', '2024-06-09 22:13:33', 'Standard Shipping', 150, 100000284, 'NLJVS3385058873'),
(770285, 'Delivered', '2024-06-10 11:50:13', 'Freight Shipping', 100, 100000285, 'DTHRY4435570577'),
(770286, 'Delivered', '2024-06-11 01:26:54', 'Standard Shipping', 200, 100000286, 'MPEJD2145688893'),
(770287, 'Delivered', '2024-06-11 15:03:34', 'Same-Day Delivery', 50, 100000287, 'ZSGVP2919648641'),
(770288, 'Delivered', '2024-06-12 04:40:15', 'Same-Day Delivery', 50, 100000288, 'ZSHUF6849145767'),
(770289, 'Delivered', '2024-06-12 18:16:55', 'Freight Shipping', 200, 100000289, 'NQKMX6913436579'),
(770290, 'Delivered', '2024-06-13 07:53:35', 'Standard Shipping', 300, 100000290, 'LEPUM8775798179'),
(770291, 'Delivered', '2024-06-13 21:30:16', 'Express Shipping', 50, 100000291, 'DQMJQ2620051828'),
(770292, 'Delivered', '2024-06-14 11:06:56', 'Express Shipping', 150, 100000292, 'GVFAD8456438752'),
(770293, 'Delivered', '2024-06-15 00:43:37', 'Standard Shipping', 100, 100000293, 'OPYQF4886608175'),
(770294, 'Delivered', '2024-06-15 14:20:17', 'Same-Day Delivery', 250, 100000294, 'EMTJN9933432657'),
(770295, 'Delivered', '2024-06-16 03:56:57', 'Standard Shipping', 150, 100000295, 'GAMZI1395890234'),
(770296, 'Delivered', '2024-06-16 17:33:38', 'Express Shipping', 200, 100000296, 'JZWST4722923274'),
(770297, 'Delivered', '2024-06-17 07:10:18', 'Same-Day Delivery', 300, 100000297, 'POVYA7366329441'),
(770298, 'Delivered', '2024-06-17 20:46:59', 'Same-Day Delivery', 50, 100000298, 'ROZUW7392177910'),
(770299, 'Delivered', '2024-06-18 10:23:39', 'Same-Day Delivery', 250, 100000299, 'DFZKJ7057339493'),
(770300, 'Delivered', '2024-06-19 00:00:19', 'Express Shipping', 300, 100000300, 'PLETK5225901213'),
(770301, 'Delivered', '2024-06-19 13:37:00', 'Freight Shipping', 100, 100000301, 'XXRXX1068984304'),
(770302, 'Delivered', '2024-06-20 03:13:40', 'Standard Shipping', 50, 100000302, 'QJLNF0375903350'),
(770303, 'Delivered', '2024-06-20 16:50:21', 'Same-Day Delivery', 150, 100000303, 'GYHAD0303131192'),
(770304, 'Delivered', '2024-06-21 06:27:01', 'Same-Day Delivery', 50, 100000304, 'WWHMR6794983938'),
(770305, 'Delivered', '2024-06-21 20:03:41', 'Freight Shipping', 250, 100000305, 'ANRMI8639026407'),
(770306, 'Delivered', '2024-06-22 09:40:22', 'Freight Shipping', 200, 100000306, 'CVVUS0274451827'),
(770307, 'Delivered', '2024-06-22 23:17:02', 'Same-Day Delivery', 200, 100000307, 'KAVQN5309492804'),
(770308, 'Delivered', '2024-06-23 12:53:43', 'Same-Day Delivery', 100, 100000308, 'CWVIP9369195958'),
(770309, 'Delivered', '2024-06-24 02:30:23', 'Standard Shipping', 250, 100000309, 'GFFRL9776250815'),
(770310, 'Delivered', '2024-06-24 16:07:03', 'Same-Day Delivery', 150, 100000310, 'RIZTB5127166101'),
(770311, 'Delivered', '2024-06-25 05:43:44', 'Freight Shipping', 150, 100000311, 'CWRDC1406187760'),
(770312, 'Delivered', '2024-06-25 19:20:24', 'Freight Shipping', 250, 100000312, 'JFQDM8574603939'),
(770313, 'Delivered', '2024-06-26 08:57:05', 'Express Shipping', 200, 100000313, 'JZIIO2418602209'),
(770314, 'Delivered', '2024-06-26 22:33:45', 'Freight Shipping', 100, 100000314, 'OAMEL3047699021'),
(770315, 'Delivered', '2024-06-27 12:10:25', 'Standard Shipping', 200, 100000315, 'DVXPY2375987427'),
(770316, 'Delivered', '2024-06-28 01:47:06', 'Same-Day Delivery', 250, 100000316, 'QLYWD0578217649'),
(770317, 'Delivered', '2024-06-28 15:23:46', 'Freight Shipping', 50, 100000317, 'UZVYK1603890110'),
(770318, 'Delivered', '2024-06-29 05:00:27', 'Express Shipping', 200, 100000318, 'YFKYN6507087460'),
(770319, 'Delivered', '2024-06-29 18:37:07', 'Standard Shipping', 150, 100000319, 'OKKCL6261725963'),
(770320, 'Delivered', '2024-06-30 08:13:47', 'Same-Day Delivery', 200, 100000320, 'LOQZF2205255080'),
(770321, 'Delivered', '2024-06-30 21:50:28', 'Standard Shipping', 150, 100000321, 'YQNYH7093837049'),
(770322, 'Delivered', '2024-07-01 11:27:08', 'Same-Day Delivery', 250, 100000322, 'HAMHD2231005691'),
(770323, 'Delivered', '2024-07-02 01:03:49', 'Same-Day Delivery', 300, 100000323, 'ZTRQC3079522625'),
(770324, 'Delivered', '2024-07-02 14:40:29', 'Freight Shipping', 250, 100000324, 'EVHTR7848936115'),
(770325, 'Delivered', '2024-07-03 04:17:09', 'Same-Day Delivery', 200, 100000325, 'HVYPL9945801281'),
(770326, 'Delivered', '2024-07-03 17:53:50', 'Same-Day Delivery', 150, 100000326, 'DSNOO0121781483'),
(770327, 'Delivered', '2024-07-04 07:30:30', 'Freight Shipping', 250, 100000327, 'BEQKP1785846736'),
(770328, 'Delivered', '2024-07-04 21:07:11', 'Standard Shipping', 300, 100000328, 'BNDOF2267738316'),
(770329, 'Delivered', '2024-07-05 10:43:51', 'Same-Day Delivery', 250, 100000329, 'VKTXF5034852683'),
(770330, 'Delivered', '2024-07-06 00:20:31', 'Express Shipping', 300, 100000330, 'JGYYV5846231331'),
(770331, 'Delivered', '2024-07-06 13:57:12', 'Standard Shipping', 50, 100000331, 'TZXUD5671194685'),
(770332, 'Delivered', '2024-07-07 03:33:52', 'Express Shipping', 100, 100000332, 'GTASB2271306375'),
(770333, 'Delivered', '2024-07-07 17:10:33', 'Same-Day Delivery', 300, 100000333, 'WIALX5631278909'),
(770334, 'Delivered', '2024-07-08 06:47:13', 'Express Shipping', 150, 100000334, 'HIHWL6390030446'),
(770335, 'Delivered', '2024-07-08 20:23:53', 'Same-Day Delivery', 300, 100000335, 'OPJWT9012135665'),
(770336, 'Delivered', '2024-07-09 10:00:34', 'Same-Day Delivery', 100, 100000336, 'AJMCF6891839015'),
(770337, 'Delivered', '2024-07-09 23:37:14', 'Same-Day Delivery', 50, 100000337, 'ZZQIY9454708137'),
(770338, 'Delivered', '2024-07-10 13:13:55', 'Freight Shipping', 200, 100000338, 'ORFDQ7559078143'),
(770339, 'Delivered', '2024-07-11 02:50:35', 'Express Shipping', 200, 100000339, 'PUGAQ8929097350'),
(770340, 'Delivered', '2024-07-11 16:27:15', 'Standard Shipping', 150, 100000340, 'GPOIJ3614653039'),
(770341, 'Delivered', '2024-07-12 06:03:56', 'Standard Shipping', 100, 100000341, 'XGZUE1773643147'),
(770342, 'Delivered', '2024-07-12 19:40:36', 'Express Shipping', 250, 100000342, 'LLQYQ5967394650'),
(770343, 'Delivered', '2024-07-13 09:17:17', 'Standard Shipping', 150, 100000343, 'LEJEF6066493718'),
(770344, 'Delivered', '2024-07-13 22:53:57', 'Express Shipping', 50, 100000344, 'QFSWB9873379663'),
(770345, 'Delivered', '2024-07-14 12:30:37', 'Freight Shipping', 250, 100000345, 'THAIZ8281096303'),
(770346, 'Delivered', '2024-07-15 02:07:18', 'Same-Day Delivery', 250, 100000346, 'YODZX5003418156'),
(770347, 'Delivered', '2024-07-15 15:43:58', 'Same-Day Delivery', 100, 100000347, 'RFAFR0913323155'),
(770348, 'Delivered', '2024-07-16 05:20:39', 'Express Shipping', 100, 100000348, 'SAGZZ6280747196'),
(770349, 'Delivered', '2024-07-16 18:57:19', 'Standard Shipping', 200, 100000349, 'UHTLZ8939767213'),
(770350, 'Delivered', '2024-07-17 08:33:59', 'Same-Day Delivery', 250, 100000350, 'NXYHW6645566770'),
(770351, 'Delivered', '2024-07-17 22:10:40', 'Standard Shipping', 150, 100000351, 'NYGFE6487722217'),
(770352, 'Delivered', '2024-07-18 11:47:20', 'Standard Shipping', 150, 100000352, 'DJLEZ8436081612'),
(770353, 'Delivered', '2024-07-19 01:24:01', 'Standard Shipping', 100, 100000353, 'PLKKS8415514783'),
(770354, 'Delivered', '2024-07-19 15:00:41', 'Express Shipping', 150, 100000354, 'ABYNM1671630945'),
(770355, 'Delivered', '2024-07-20 04:37:21', 'Same-Day Delivery', 50, 100000355, 'PFAQS8399883567'),
(770356, 'Delivered', '2024-07-20 18:14:02', 'Standard Shipping', 150, 100000356, 'FTVST7979468860'),
(770357, 'Delivered', '2024-07-21 07:50:42', 'Same-Day Delivery', 50, 100000357, 'YARTZ2648386965'),
(770358, 'Delivered', '2024-07-21 21:27:23', 'Freight Shipping', 250, 100000358, 'QWIHM1505571953'),
(770359, 'Delivered', '2024-07-22 11:04:03', 'Express Shipping', 50, 100000359, 'RYIBA7857751275'),
(770360, 'Delivered', '2024-07-23 00:40:43', 'Same-Day Delivery', 300, 100000360, 'DXHCN6912877161'),
(770361, 'Delivered', '2024-07-23 14:17:24', 'Standard Shipping', 300, 100000361, 'SUYTC4850605848'),
(770362, 'Delivered', '2024-07-24 03:54:04', 'Freight Shipping', 250, 100000362, 'MNTBR1231518071'),
(770363, 'Delivered', '2024-07-24 17:30:45', 'Standard Shipping', 100, 100000363, 'RCMUG5892149885'),
(770364, 'Delivered', '2024-07-25 07:07:25', 'Express Shipping', 250, 100000364, 'ZJBMG0956372377'),
(770365, 'Delivered', '2024-07-25 20:44:05', 'Same-Day Delivery', 50, 100000365, 'EIHTK1215378414'),
(770366, 'Delivered', '2024-07-26 10:20:46', 'Express Shipping', 100, 100000366, 'MSQTB8815098307'),
(770367, 'Delivered', '2024-07-26 23:57:26', 'Freight Shipping', 300, 100000367, 'NOFKS5833384790'),
(770368, 'Delivered', '2024-07-27 13:34:07', 'Freight Shipping', 200, 100000368, 'KZSTR9171950442'),
(770369, 'Delivered', '2024-07-28 03:10:47', 'Same-Day Delivery', 50, 100000369, 'PDRPT7851243990'),
(770370, 'Delivered', '2024-07-28 16:47:27', 'Freight Shipping', 100, 100000370, 'IMNGP0240296666'),
(770371, 'Delivered', '2024-07-29 06:24:08', 'Standard Shipping', 300, 100000371, 'NEGFG5102785473'),
(770372, 'Delivered', '2024-07-29 20:00:48', 'Express Shipping', 300, 100000372, 'QXLPJ4535938071'),
(770373, 'Delivered', '2024-07-30 09:37:29', 'Freight Shipping', 300, 100000373, 'ENTKZ6139401132'),
(770374, 'Delivered', '2024-07-30 23:14:09', 'Express Shipping', 100, 100000374, 'SNASU8310653472'),
(770375, 'Delivered', '2024-07-31 12:50:49', 'Express Shipping', 200, 100000375, 'VVCIT3053116903'),
(770376, 'Delivered', '2024-08-01 02:27:30', 'Same-Day Delivery', 250, 100000376, 'ZQRNY1281188789'),
(770377, 'Delivered', '2024-08-01 16:04:10', 'Freight Shipping', 200, 100000377, 'MEQPB3211451544'),
(770378, 'Delivered', '2024-08-02 05:40:51', 'Standard Shipping', 300, 100000378, 'ETCVR2300652844'),
(770379, 'Delivered', '2024-08-02 19:17:31', 'Express Shipping', 200, 100000379, 'WJBLX5078414872'),
(770380, 'Delivered', '2024-08-03 08:54:11', 'Same-Day Delivery', 50, 100000380, 'DBLUH7042086045'),
(770381, 'Delivered', '2024-08-03 22:30:52', 'Same-Day Delivery', 300, 100000381, 'QCKYO5063799028'),
(770382, 'Delivered', '2024-08-04 12:07:32', 'Same-Day Delivery', 50, 100000382, 'SSQRE0556082726'),
(770383, 'Delivered', '2024-08-05 01:44:13', 'Same-Day Delivery', 100, 100000383, 'EAPCY9869320908'),
(770384, 'Delivered', '2024-08-05 15:20:53', 'Standard Shipping', 50, 100000384, 'NCXYN9724122656'),
(770385, 'Delivered', '2024-08-06 04:57:33', 'Standard Shipping', 150, 100000385, 'EVDHY1828990697'),
(770386, 'Delivered', '2024-08-06 18:34:14', 'Express Shipping', 50, 100000386, 'CZSWE1390865655'),
(770387, 'Delivered', '2024-08-07 08:10:54', 'Express Shipping', 300, 100000387, 'CJCIB5150735219'),
(770388, 'Delivered', '2024-08-07 21:47:35', 'Same-Day Delivery', 150, 100000388, 'IDYVS3186406840'),
(770389, 'Delivered', '2024-08-08 11:24:15', 'Standard Shipping', 300, 100000389, 'TUFYH4022809192'),
(770390, 'Delivered', '2024-08-09 01:00:55', 'Express Shipping', 50, 100000390, 'RGWJD2945760660'),
(770391, 'Delivered', '2024-08-09 14:37:36', 'Same-Day Delivery', 150, 100000391, 'MZELM6813160134'),
(770392, 'Delivered', '2024-08-10 04:14:16', 'Same-Day Delivery', 300, 100000392, 'TPNVN8003929717'),
(770393, 'Delivered', '2024-08-10 17:50:57', 'Same-Day Delivery', 200, 100000393, 'SRJWB2219926157'),
(770394, 'Delivered', '2024-08-11 07:27:37', 'Standard Shipping', 250, 100000394, 'GZAMV1358584653'),
(770395, 'Delivered', '2024-08-11 21:04:17', 'Same-Day Delivery', 50, 100000395, 'RZPZU1859212476'),
(770396, 'Delivered', '2024-08-12 10:40:58', 'Standard Shipping', 200, 100000396, 'KDOZB3043189696'),
(770397, 'Delivered', '2024-08-13 00:17:38', 'Same-Day Delivery', 150, 100000397, 'KOSFL3955661228'),
(770398, 'Delivered', '2024-08-13 13:54:19', 'Same-Day Delivery', 100, 100000398, 'WDWDA1800364098'),
(770399, 'Delivered', '2024-08-14 03:30:59', 'Express Shipping', 150, 100000399, 'SGGPG2211733568'),
(770400, 'Delivered', '2024-08-14 17:07:39', 'Freight Shipping', 150, 100000400, 'OWXRW2000429773'),
(770401, 'Delivered', '2024-08-15 06:44:20', 'Freight Shipping', 300, 100000401, 'PYFLY9402045418'),
(770402, 'Delivered', '2024-08-15 20:21:00', 'Express Shipping', 200, 100000402, 'WVURH5598809493'),
(770403, 'Delivered', '2024-08-16 09:57:41', 'Express Shipping', 300, 100000403, 'FRULL3469682671'),
(770404, 'Delivered', '2024-08-16 23:34:21', 'Express Shipping', 150, 100000404, 'XIWQV1358837244'),
(770405, 'Delivered', '2024-08-17 13:11:01', 'Same-Day Delivery', 150, 100000405, 'IUXDN4393896985'),
(770406, 'Delivered', '2024-08-18 02:47:42', 'Standard Shipping', 250, 100000406, 'XUIHH4030884515'),
(770407, 'Delivered', '2024-08-18 16:24:22', 'Express Shipping', 200, 100000407, 'RDOJS1054510243'),
(770408, 'Delivered', '2024-08-19 06:01:03', 'Freight Shipping', 200, 100000408, 'ARUYI2328471010'),
(770409, 'Delivered', '2024-08-19 19:37:43', 'Same-Day Delivery', 200, 100000409, 'YCETX8132841815'),
(770410, 'Delivered', '2024-08-20 09:14:23', 'Standard Shipping', 150, 100000410, 'CBLPZ7781877178'),
(770411, 'Delivered', '2024-08-20 22:51:04', 'Express Shipping', 150, 100000411, 'PYLTE8162468811'),
(770412, 'Delivered', '2024-08-21 12:27:44', 'Express Shipping', 200, 100000412, 'WJCPE8569824980'),
(770413, 'Delivered', '2024-08-22 02:04:25', 'Standard Shipping', 300, 100000413, 'NBPQG6032485962'),
(770414, 'Delivered', '2024-08-22 15:41:05', 'Freight Shipping', 100, 100000414, 'EOKIW1765514000'),
(770415, 'Delivered', '2024-08-23 05:17:45', 'Express Shipping', 50, 100000415, 'BFAWZ4650674767'),
(770416, 'Delivered', '2024-08-23 18:54:26', 'Same-Day Delivery', 300, 100000416, 'GTXQP3385633418'),
(770417, 'Delivered', '2024-08-24 08:31:06', 'Same-Day Delivery', 100, 100000417, 'EIXMD0565730023'),
(770418, 'Delivered', '2024-08-24 22:07:47', 'Same-Day Delivery', 250, 100000418, 'NZBBG2366393550'),
(770419, 'Delivered', '2024-08-25 11:44:27', 'Express Shipping', 300, 100000419, 'ASINB9640820108'),
(770420, 'Delivered', '2024-08-26 01:21:07', 'Freight Shipping', 250, 100000420, 'QOCIA3749360448'),
(770421, 'Delivered', '2024-08-26 14:57:48', 'Same-Day Delivery', 150, 100000421, 'XSOFD3386647436'),
(770422, 'Delivered', '2024-08-27 04:34:28', 'Express Shipping', 150, 100000422, 'RSEUT0434736876'),
(770423, 'Delivered', '2024-08-27 18:11:09', 'Standard Shipping', 300, 100000423, 'JLQWC0517410040'),
(770424, 'Delivered', '2024-08-28 07:47:49', 'Same-Day Delivery', 50, 100000424, 'YVBHF6738258706'),
(770425, 'Delivered', '2024-08-28 21:24:29', 'Standard Shipping', 50, 100000425, 'EYYNQ7476236110'),
(770426, 'Delivered', '2024-08-29 11:01:10', 'Same-Day Delivery', 300, 100000426, 'CSEPC0339361626'),
(770427, 'Delivered', '2024-08-30 00:37:50', 'Same-Day Delivery', 300, 100000427, 'FKJUG4653997345'),
(770428, 'Delivered', '2024-08-30 14:14:31', 'Standard Shipping', 50, 100000428, 'OQPLZ2701433874'),
(770429, 'Delivered', '2024-08-31 03:51:11', 'Express Shipping', 50, 100000429, 'TPUUK3094599694'),
(770430, 'Delivered', '2024-08-31 17:27:51', 'Standard Shipping', 100, 100000430, 'ZHCOB0548651900'),
(770431, 'Info Received', '2024-09-01 07:04:32', 'Standard Shipping', 200, 100000431, 'AKNZW8390397918'),
(770432, 'Delivering', '2024-09-01 20:41:12', 'Express Shipping', 200, 100000432, 'SYSAA8210837353'),
(770433, 'Info Received', '2024-09-02 10:17:53', 'Standard Shipping', 250, 100000433, 'REBAS1213765300'),
(770434, 'Delivering', '2024-09-02 23:54:33', 'Standard Shipping', 250, 100000434, 'SJOCI8936937909'),
(770435, 'Info Received', '2024-09-03 13:31:13', 'Same-Day Delivery', 200, 100000435, 'PNIXX0503219830'),
(770436, 'Delivering', '2024-09-04 03:07:54', 'Same-Day Delivery', 50, 100000436, 'RPTMD8373325658'),
(770437, 'Delivering', '2024-09-04 16:44:34', 'Standard Shipping', 300, 100000437, 'YFXTD0508794888'),
(770438, 'Delivering', '2024-09-05 06:21:15', 'Freight Shipping', 250, 100000438, 'WVYET9074106136'),
(770439, 'Delivering', '2024-09-05 19:57:55', 'Standard Shipping', 50, 100000439, 'RAFBB6531553393'),
(770440, 'Info Received', '2024-09-06 09:34:35', 'Express Shipping', 250, 100000440, 'AQAYT6585718935'),
(770441, 'Delivering', '2024-09-06 23:11:16', 'Same-Day Delivery', 50, 100000441, 'BUJUD3188677860'),
(770442, 'Info Received', '2024-09-07 12:47:56', 'Freight Shipping', 300, 100000442, 'VYLBV2457133043'),
(770443, 'Delivering', '2024-09-08 02:24:37', 'Same-Day Delivery', 300, 100000443, 'DAGAB1638114911'),
(770444, 'Delivering', '2024-09-08 16:01:17', 'Standard Shipping', 50, 100000444, 'JLMLA5907575976'),
(770445, 'Delivering', '2024-09-09 05:37:57', 'Freight Shipping', 250, 100000445, 'LRMYP8445792632'),
(770446, 'Info Received', '2024-09-09 19:14:38', 'Same-Day Delivery', 200, 100000446, 'IYIVH8917501163'),
(770447, 'Info Received', '2024-09-10 08:51:18', 'Express Shipping', 250, 100000447, 'ITBNG8255184685'),
(770448, 'Delivering', '2024-09-10 22:27:59', 'Freight Shipping', 250, 100000448, 'ISIAC6812155661'),
(770449, 'Delivering', '2024-09-11 12:04:39', 'Standard Shipping', 250, 100000449, 'FBUCP9045549541'),
(770450, 'Info Received', '2024-09-12 01:41:19', 'Express Shipping', 50, 100000450, 'VUSIO4691716163'),
(770451, 'Info Received', '2024-09-12 15:18:00', 'Freight Shipping', 50, 100000451, 'GJTYQ5604065572'),
(770452, 'Delivering', '2024-09-13 04:54:40', 'Standard Shipping', 300, 100000452, 'SFDBT0618339597'),
(770453, 'Info Received', '2024-09-13 18:31:21', 'Same-Day Delivery', 200, 100000453, 'EDSOH1318540741'),
(770454, 'Delivering', '2024-09-14 08:08:01', 'Standard Shipping', 100, 100000454, 'KHNFA9559517622'),
(770455, 'Delivering', '2024-09-14 21:44:41', 'Standard Shipping', 250, 100000455, 'ZULHP9704171236'),
(770456, 'Delivering', '2024-09-15 11:21:22', 'Freight Shipping', 200, 100000456, 'BLOUV0098229948'),
(770457, 'Info Received', '2024-09-16 00:58:02', 'Standard Shipping', 50, 100000457, 'OPKRZ9221990434'),
(770458, 'Info Received', '2024-09-16 14:34:43', 'Standard Shipping', 150, 100000458, 'UOXJU1383399269'),
(770459, 'Info Received', '2024-09-17 04:11:23', 'Express Shipping', 50, 100000459, 'LDCOG1356834256'),
(770460, 'Delivering', '2024-09-17 17:48:03', 'Same-Day Delivery', 250, 100000460, 'LQCJF5770903136'),
(770461, 'Info Received', '2024-09-18 07:24:44', 'Express Shipping', 50, 100000461, 'PQBIJ7138563181'),
(770462, 'Info Received', '2024-09-18 21:01:24', 'Express Shipping', 200, 100000462, 'ZQESA3400198344'),
(770463, 'Delivering', '2024-09-19 10:38:05', 'Express Shipping', 200, 100000463, 'CIJFA6528932015'),
(770464, 'Delivering', '2024-09-20 00:14:45', 'Same-Day Delivery', 200, 100000464, 'NUSLR7779643277'),
(770465, 'Delivering', '2024-09-20 13:51:25', 'Express Shipping', 100, 100000465, 'KBBUN0790105728'),
(770466, 'Delivering', '2024-09-21 03:28:06', 'Freight Shipping', 50, 100000466, 'LPXTY2290453942'),
(770467, 'Delivering', '2024-09-21 17:04:46', 'Standard Shipping', 200, 100000467, 'KGDAT3828594533'),
(770468, 'Info Received', '2024-09-22 06:41:27', 'Standard Shipping', 300, 100000468, 'CURAT6667486124'),
(770469, 'Delivering', '2024-09-22 20:18:07', 'Freight Shipping', 50, 100000469, 'VZAZC9409054489'),
(770470, 'Info Received', '2024-09-23 09:54:47', 'Standard Shipping', 50, 100000470, 'ONKTO8083956618'),
(770471, 'Delivering', '2024-09-23 23:31:28', 'Standard Shipping', 100, 100000471, 'NVEXQ1321278956'),
(770472, 'Delivering', '2024-09-24 13:08:08', 'Freight Shipping', 300, 100000472, 'CLTKA1071737194'),
(770473, 'Delivering', '2024-09-25 02:44:49', 'Freight Shipping', 150, 100000473, 'JWCUO8192377854'),
(770474, 'Info Received', '2024-09-25 16:21:29', 'Express Shipping', 50, 100000474, 'HBYZG1532641141'),
(770475, 'Delivering', '2024-09-26 05:58:09', 'Standard Shipping', 250, 100000475, 'HOVAQ2704944839'),
(770476, 'Info Received', '2024-09-26 19:34:50', 'Standard Shipping', 200, 100000476, 'LFIRJ6656717334'),
(770477, 'Delivering', '2024-09-27 09:11:30', 'Standard Shipping', 150, 100000477, 'WVZPG8442543795'),
(770478, 'Info Received', '2024-09-27 22:48:11', 'Same-Day Delivery', 100, 100000478, 'UAYHM5541260532'),
(770479, 'Delivering', '2024-09-28 12:24:51', 'Freight Shipping', 50, 100000479, 'NKDIV1265719475'),
(770480, 'Info Received', '2024-09-29 02:01:31', 'Same-Day Delivery', 150, 100000480, 'AZUWL9926468139'),
(770481, 'Delivering', '2024-09-29 15:38:12', 'Freight Shipping', 50, 100000481, 'EXZFY6469654142'),
(770482, 'Delivering', '2024-09-30 05:14:52', 'Standard Shipping', 250, 100000482, 'AGIMD7623545755'),
(770483, 'Delivering', '2024-09-30 18:51:33', 'Standard Shipping', 250, 100000483, 'RXGKM0425778239'),
(770484, 'Info Received', '2024-10-01 08:28:13', 'Freight Shipping', 250, 100000484, 'SEYGX0174145239'),
