INSERT INTO ORDERDETAILS (orderId, productId, quantity, totalPrice) VALUES
(670000410, 300044, 2, 1000),
(670000410, 400035, 3, 1000),
(670000411, 200030, 3, 1000),
(670000411, 400015, 3, 1000),
(670000412, 100086, 3, 1000),
(670000412, 300045, 2, 1000),
(670000413, 200073, 2, 1000),
(670000413, 300050, 3, 1000),
(670000414, 100039, 1, 1000),
(670000414, 200128, 2, 1000),
(670000415, 300003, 3, 1000),
(670000415, 200042, 2, 1000),
(670000416, 100118, 3, 1000),
(670000416, 100042, 3, 1000),
(670000417, 300045, 3, 1000),
(670000417, 400011, 2, 1000),
(670000418, 400028, 1, 1000),
(670000418, 200075, 2, 1000),
(670000419, 200109, 1, 1000),
(670000419, 200038, 1, 1000),
(670000420, 200019, 3, 1000),
(670000420, 300019, 3, 1000),
(670000421, 400001, 1, 1000),
(670000421, 400026, 1, 1000),
(670000422, 100065, 3, 1000),
(670000422, 100175, 1, 1000),
(670000423, 400019, 3, 1000),
(670000423, 300002, 3, 1000),
(670000424, 400033, 2, 1000),
(670000424, 200147, 1, 1000),
(670000425, 300002, 1, 1000),
(670000425, 200015, 2, 1000),
(670000426, 400005, 1, 1000),
(670000426, 400013, 3, 1000),
(670000427, 100059, 2, 1000),
(670000427, 400032, 1, 1000),
(670000428, 400043, 2, 1000),
(670000428, 100250, 3, 1000),
(670000429, 300027, 2, 1000),
(670000429, 200103, 1, 1000),
(670000430, 400045, 3, 1000),
(670000430, 300037, 1, 1000),
(670000431, 300001, 3, 1000),
(670000431, 100214, 3, 1000),
(670000432, 400017, 1, 1000),
(670000432, 300026, 2, 1000),
(670000433, 300008, 2, 1000),
(670000433, 300030, 2, 1000),
(670000434, 300045, 1, 1000),
(670000434, 100166, 2, 1000),
(670000435, 200078, 1, 1000),
(670000435, 200106, 1, 1000),
(670000436, 400023, 2, 1000),
(670000436, 400024, 1, 1000),
(670000437, 100177, 1, 1000),
(670000437, 400012, 2, 1000),
(670000438, 300031, 3, 1000),
(670000438, 300014, 3, 1000),
(670000439, 100166, 2, 1000),
(670000439, 400041, 2, 1000),
(670000440, 400027, 3, 1000),
(670000440, 200101, 2, 1000),
(670000441, 100103, 2, 1000),
(670000441, 300001, 3, 1000),
(670000442, 200025, 2, 1000),
(670000442, 400013, 1, 1000),
(670000443, 200066, 2, 1000),
(670000443, 400022, 2, 1000),
(670000444, 200136, 1, 1000),
(670000444, 400004, 3, 1000),
(670000445, 400032, 2, 1000),
(670000445, 200080, 3, 1000),
(670000446, 200049, 1, 1000),
(670000446, 100206, 3, 1000),
(670000447, 200098, 1, 1000),
(670000447, 300048, 1, 1000),
(670000448, 300005, 1, 1000),
(670000448, 400038, 3, 1000),
(670000449, 200022, 2, 1000),
(670000449, 400049, 3, 1000),
(670000450, 400019, 3, 1000),
(670000450, 200047, 3, 1000),
(670000451, 200136, 1, 1000),
(670000451, 400041, 1, 1000),
(670000452, 400041, 1, 1000),
(670000452, 400019, 3, 1000),
(670000453, 200117, 2, 1000),
(670000453, 300014, 2, 1000),
(670000454, 200086, 2, 1000),
(670000454, 400030, 2, 1000),
(670000455, 100020, 1, 1000),
(670000455, 200032, 3, 1000),
(670000456, 400019, 2, 1000),
(670000456, 300033, 3, 1000),
(670000457, 400031, 2, 1000),
(670000457, 300022, 2, 1000),
(670000458, 200070, 1, 1000),
(670000458, 300024, 3, 1000),
(670000459, 300009, 3, 1000),
(670000459, 100138, 1, 1000),
(670000460, 300044, 2, 1000),
(670000460, 200027, 1, 1000),
(670000461, 100020, 2, 1000),
(670000461, 200046, 2, 1000),
(670000462, 200030, 2, 1000),
(670000462, 400007, 2, 1000),
(670000463, 100226, 3, 1000),
(670000463, 300033, 1, 1000),
(670000464, 100033, 3, 1000),
(670000464, 100117, 2, 1000),
(670000465, 100020, 3, 1000),
(670000465, 400034, 1, 1000),
(670000466, 200055, 2, 1000),
(670000466, 400008, 3, 1000),
(670000467, 400009, 1, 1000),
(670000467, 200027, 1, 1000),
(670000468, 300026, 2, 1000),
(670000468, 400035, 3, 1000),
(670000469, 300007, 3, 1000),
(670000469, 100184, 2, 1000),
(670000470, 300028, 3, 1000),
(670000470, 400027, 3, 1000),
(670000471, 400008, 3, 1000),
(670000471, 200004, 1, 1000),
(670000472, 300005, 3, 1000),
(670000472, 400014, 3, 1000),
(670000473, 200095, 3, 1000),
(670000473, 200128, 1, 1000),
(670000474, 200097, 3, 1000),
(670000474, 100193, 3, 1000),
(670000475, 400007, 2, 1000),
(670000475, 100001, 2, 1000),
(670000476, 100073, 3, 1000),
(670000476, 300024, 2, 1000),
(670000477, 200049, 3, 1000),
(670000477, 300042, 3, 1000),
(670000478, 100111, 2, 1000),
(670000478, 300043, 2, 1000),
(670000479, 100165, 3, 1000),
(670000479, 400008, 3, 1000),
(670000480, 400045, 3, 1000),
(670000480, 400004, 1, 1000),
(670000481, 300029, 2, 1000),
(670000481, 300034, 2, 1000),
(670000482, 200117, 3, 1000),
(670000482, 300010, 3, 1000),
(670000483, 300014, 1, 1000),
(670000483, 400038, 3, 1000),
(670000484, 300049, 2, 1000),
(670000484, 200134, 1, 1000),
(670000485, 400035, 3, 1000),
(670000485, 300023, 2, 1000),
(670000486, 200004, 1, 1000),
(670000486, 300022, 3, 1000),
(670000487, 100067, 1, 1000),
(670000487, 300047, 3, 1000),
(670000488, 200041, 3, 1000),
(670000488, 200003, 2, 1000),
(670000489, 200140, 2, 1000),
(670000489, 300045, 1, 1000),
(670000490, 200135, 1, 1000),
(670000490, 200099, 2, 1000),
(670000491, 400029, 3, 1000),
(670000491, 400034, 2, 1000),
(670000492, 100181, 2, 1000),
(670000492, 200104, 3, 1000),
(670000493, 400050, 2, 1000),
(670000493, 100182, 3, 1000),
(670000494, 200019, 1, 1000),
(670000494, 400006, 3, 1000),
(670000495, 300044, 2, 1000),
(670000495, 400019, 3, 1000),
(670000496, 400004, 1, 1000),
(670000496, 200097, 3, 1000),
(670000497, 400015, 2, 1000),
(670000497, 300029, 2, 1000),
(670000498, 400028, 3, 1000),
(670000498, 300022, 2, 1000),
(670000499, 400015, 2, 1000),
(670000499, 100082, 2, 1000),
(670000500, 400028, 3, 1000),
(670000500, 100117, 3, 1000);
