INSERT INTO WARRANTIES (warrantyId, claimDate, validDurationMonth, isClaimed, customerId, productId) VALUES
(660398, '2024-08-18 12:45:00', 3, 0, 100000103, 100012),
(660399, '2024-08-19 11:30:00', 12, 1, 100000113, 400007),
(660400, '2024-08-20 10:30:00', 6, 0, 100000198, 100036);

INSERT INTO WARRANTIES (warrantyId, claimDate, validDurationMonth, isClaimed, customerId, productId) VALUES
(660401, '2024-07-01 09:00:00', 12, 0, 100000156, 100048),
(660402, '2024-07-02 11:15:00', 6, 1, 100000004, 400031),
(660403, '2024-07-03 10:45:00', 12, 0, 100000079, 100015),
(660404, '2024-07-04 14:30:00', 3, 1, 100000032, 400024),
(660405, '2024-07-05 12:00:00', 24, 0, 100000028, 100045),
(660406, '2024-07-06 10:30:00', 12, 1, 100000106, 400050),
(660407, '2024-07-07 13:00:00', 6, 0, 100000115, 100036),
(660408, '2024-07-08 11:00:00', 12, 1, 100000155, 400020),
(660409, '2024-07-09 14:15:00', 6, 0, 100000081, 100027),
(660410, '2024-07-10 15:30:00', 12, 1, 100000134, 400013),
(660411, '2024-07-11 10:45:00', 3, 0, 100000122, 100049),
(660412, '2024-07-12 14:00:00', 12, 1, 100000006, 400046),
(660413, '2024-07-13 09:15:00', 6, 0, 100000172, 100031),
(660414, '2024-07-14 10:30:00', 12, 1, 100000039, 100038),
(660415, '2024-07-15 15:00:00', 3, 0, 100000108, 400030),
(660416, '2024-07-16 11:30:00', 12, 1, 100000043, 400002),
(660417, '2024-07-17 12:15:00', 6, 0, 100000051, 100014),
(660418, '2024-07-18 14:00:00', 12, 1, 100000074, 400048),
(660419, '2024-07-19 13:15:00', 6, 0, 100000128, 100012),
(660420, '2024-07-20 10:00:00', 12, 1, 100000089, 400007),
(660421, '2024-07-21 12:30:00', 3, 0, 100000144, 100020),
(660422, '2024-07-22 11:45:00', 12, 1, 100000067, 100016),
(660423, '2024-07-23 10:15:00', 6, 0, 100000125, 400043),
(660424, '2024-07-24 14:30:00', 12, 1, 100000173, 100028),
(660425, '2024-07-25 13:45:00', 3, 0, 100000134, 400044),
(660426, '2024-07-26 11:00:00', 12, 1, 100000061, 100002),
(660427, '2024-07-27 15:15:00', 6, 0, 100000188, 100045),
(660428, '2024-07-28 10:30:00', 12, 1, 100000091, 400028),
(660429, '2024-07-29 12:00:00', 3, 0, 100000071, 100004),
(660430, '2024-07-30 14:00:00', 12, 1, 100000092, 400017),
(660431, '2024-08-01 09:30:00', 6, 0, 100000156, 100046),
(660432, '2024-08-02 10:45:00', 12, 1, 100000173, 100035),
(660433, '2024-08-03 11:00:00', 6, 0, 100000009, 400006),
(660434, '2024-08-04 13:15:00', 12, 1, 100000174, 100010),
(660435, '2024-08-05 12:00:00', 3, 0, 100000057, 400049),
(660436, '2024-08-06 14:30:00', 12, 1, 100000007, 400045),
(660437, '2024-08-07 09:15:00', 6, 0, 100000136, 100001),
(660438, '2024-08-08 11:30:00', 12, 1, 100000005, 100020),
(660439, '2024-08-09 10:00:00', 6, 0, 100000175, 400027),
(660440, '2024-08-10 13:30:00', 12, 1, 100000040, 400008),
(660441, '2024-08-11 15:00:00', 3, 0, 100000194, 400014),
(660442, '2024-08-12 09:30:00', 12, 1, 100000159, 100033),
(660443, '2024-08-13 10:45:00', 6, 0, 100000020, 400025),
(660444, '2024-08-14 14:15:00', 12, 1, 100000013, 400042),
(660445, '2024-08-15 11:00:00', 6, 0, 100000084, 100021),
(660446, '2024-08-16 12:30:00', 12, 1, 100000077, 400012),
(660447, '2024-08-17 10:00:00', 3, 0, 100000032, 100029),
(660448, '2024-08-18 13:00:00', 12, 1, 100000195, 400019),
(660449, '2024-08-19 15:30:00', 6, 0, 100000042, 100009),
(660450, '2024-08-20 14:00:00', 12, 1, 100000074, 100030);

INSERT INTO WARRANTIES (warrantyId, claimDate, validDurationMonth, isClaimed, customerId, productId) VALUES
(660451, '2024-07-01 10:00:00', 12, 0, 100000032, 100010),
(660452, '2024-07-02 09:30:00', 6, 1, 100000021, 400007),
(660453, '2024-07-03 12:15:00', 12, 0, 100000155, 100017),
(660454, '2024-07-04 11:45:00', 3, 1, 100000148, 400050),
(660455, '2024-07-05 14:00:00', 24, 0, 100000124, 100035),
(660456, '2024-07-06 10:30:00', 12, 1, 100000054, 400032),
(660457, '2024-07-07 13:15:00', 6, 0, 100000077, 100043),
(660458, '2024-07-08 09:00:00', 12, 1, 100000084, 400030),
(660459, '2024-07-09 15:30:00', 6, 0, 100000139, 100016),
(660460, '2024-07-10 11:00:00', 12, 1, 100000088, 400014),
(660461, '2024-07-11 14:15:00', 3, 0, 100000115, 100029),
(660462, '2024-07-12 10:45:00', 12, 1, 100000102, 400042),
(660463, '2024-07-13 12:30:00', 6, 0, 100000093, 100022),
(660464, '2024-07-14 09:30:00', 12, 1, 100000172, 400008),
(660465, '2024-07-15 15:00:00', 6, 0, 100000125, 100039),
(660466, '2024-07-16 11:15:00', 12, 1, 100000176, 400045),
(660467, '2024-07-17 14:30:00', 3, 0, 100000070, 100018),
(660468, '2024-07-18 12:45:00', 12, 1, 100000018, 400027),
(660469, '2024-07-19 10:00:00', 6, 0, 100000137, 100047),
(660470, '2024-07-20 13:30:00', 12, 1, 100000041, 400028),
(660471, '2024-07-21 11:00:00', 3, 0, 100000110, 100036),
(660472, '2024-07-22 15:15:00', 12, 1, 100000011, 400003),
(660473, '2024-07-23 10:15:00', 6, 0, 100000097, 100008),
(660474, '2024-07-24 12:00:00', 12, 1, 100000012, 400016),
(660475, '2024-07-25 14:00:00', 3, 0, 100000026, 100020),
(660476, '2024-07-26 11:30:00', 12, 1, 100000035, 400031),
(660477, '2024-07-27 15:00:00', 6, 0, 100000045, 100011),
(660478, '2024-07-28 10:30:00', 12, 1, 100000064, 400026),
(660479, '2024-07-29 09:15:00', 3, 0, 100000077, 100019),
(660480, '2024-07-30 14:15:00', 12, 1, 100000174, 400006),
(660481, '2024-08-01 10:00:00', 6, 0, 100000155, 100044),
(660482, '2024-08-02 11:30:00', 12, 1, 100000068, 400020),
(660483, '2024-08-03 12:15:00', 3, 0, 100000095, 100045),
(660484, '2024-08-04 14:00:00', 12, 1, 100000016, 400007),
(660485, '2024-08-05 10:45:00', 6, 0, 100000192, 100038),
(660486, '2024-08-06 15:30:00', 12, 1, 100000084, 400029),
(660487, '2024-08-07 11:00:00', 3, 0, 100000132, 100046),
(660488, '2024-08-08 14:15:00', 12, 1, 100000090, 400033),
(660489, '2024-08-09 12:30:00', 6, 0, 100000144, 100022),
(660490, '2024-08-10 10:00:00', 12, 1, 100000037, 400050),
(660491, '2024-08-11 13:00:00', 3, 0, 100000123, 100048),
(660492, '2024-08-12 09:30:00', 12, 1, 100000076, 400041),
(660493, '2024-08-13 15:00:00', 6, 0, 100000138, 100012),
(660494, '2024-08-14 14:30:00', 12, 1, 100000063, 400004),
(660495, '2024-08-15 11:45:00', 3, 0, 100000049, 100034),
(660496, '2024-08-16 13:30:00', 12, 1, 100000009, 400010),
(660497, '2024-08-17 10:15:00', 6, 0, 100000061, 100015),
(660498, '2024-08-18 12:00:00', 12, 1, 100000002, 400036),
(660499, '2024-08-19 14:00:00', 3, 0, 100000128, 100006),
(660500, '2024-08-20 11:30:00', 12, 1, 100000042, 400021);
